investor,investor,pagerank
0,0,1.3970602189617621e-08
1,1,3.653810191141272e-05
2,2,1.032121832494116e-05
3,3,1.2408937005998514e-06
4,4,1.5140578054376373e-05
5,5,1.3970602189617621e-08
6,6,4.432125920173297e-06
7,7,1.4131845168795576e-05
8,8,2.1431771794055063e-07
9,9,1.3970602189617621e-08
10,10,1.0013922250765162e-06
11,11,1.3970602189617621e-08
12,12,1.3970602189617621e-08
13,13,3.707648527456942e-06
14,14,1.3970602189617621e-08
15,15,1.3970602189617621e-08
16,16,8.010451093258492e-07
17,17,4.432125920173297e-06
18,18,1.3970602189617621e-08
19,19,1.3970602189617621e-08
20,20,2.1265015560369463e-08
21,21,7.181603665497038e-07
22,22,1.3970602189617621e-08
23,23,3.7326148737049903e-06
24,24,1.3970602189617621e-08
25,25,1.0720473595055707e-05
26,26,1.3970602189617621e-08
27,27,1.3970602189617621e-08
28,28,1.3970602189617621e-08
29,29,1.7939079439407802e-08
30,30,1.3970602189617621e-08
31,31,1.3970602189617621e-08
32,32,1.3970602189617621e-08
33,33,7.439627130058905e-06
34,34,1.3970602189617621e-08
35,35,2.9987543189613245e-06
36,36,1.3970602189617621e-08
37,37,1.3970602189617621e-08
38,38,1.3970602189617621e-08
39,39,1.2180786280927402e-05
40,40,1.3970602189617621e-08
41,41,4.724904454305851e-06
42,42,1.3970602189617621e-08
43,43,1.3970602189617621e-08
44,44,1.3970602189617621e-08
45,45,2.855942893111936e-08
46,46,1.3970602189617621e-08
47,47,1.3970602189617621e-08
48,48,1.3970602189617621e-08
49,49,1.3970602189617621e-08
50,50,1.3970602189617621e-08
51,51,1.7901797997193315e-05
52,52,1.3970602189617621e-08
53,53,1.3970602189617621e-08
54,54,1.3970602189617621e-08
55,55,1.3970602189617621e-08
56,56,1.3970602189617621e-08
57,57,9.997428337404533e-06
58,58,1.3970602189617621e-08
59,59,1.3970602189617621e-08
60,60,4.865428508234013e-06
61,61,1.3970602189617621e-08
62,62,1.2408937005998514e-06
63,63,1.3970602189617621e-08
64,64,4.863295298071662e-06
65,65,1.3970602189617621e-08
66,66,1.3970602189617621e-08
67,67,1.3970602189617621e-08
68,68,1.3970602189617621e-08
69,69,1.3970602189617621e-08
70,70,1.3970602189617621e-08
71,71,1.3970602189617621e-08
72,72,1.3970602189617621e-08
73,73,1.3970602189617621e-08
74,74,1.3970602189617621e-08
75,75,1.3970602189617621e-08
76,76,1.3970602189617621e-08
77,77,1.3970602189617621e-08
78,78,1.3970602189617621e-08
79,79,1.3970602189617621e-08
80,80,1.3970602189617621e-08
81,81,2.855942893111941e-08
82,82,1.3970602189617621e-08
83,83,1.3970602189617621e-08
84,84,1.3970602189617621e-08
85,85,1.3970602189617621e-08
86,86,1.3970602189617621e-08
87,87,1.3970602189617621e-08
88,88,1.3970602189617621e-08
89,89,1.3970602189617621e-08
90,90,1.3970602189617621e-08
91,91,1.3970602189617621e-08
92,92,1.3970602189617621e-08
93,93,2.1431771794055063e-07
94,94,1.3970602189617621e-08
95,95,1.3970602189617621e-08
96,96,1.3970602189617621e-08
97,97,1.3970602189617621e-08
98,98,1.3970602189617621e-08
99,99,1.3970602189617621e-08
100,100,1.3970602189617621e-08
101,101,2.1265015560369453e-08
102,102,1.3970602189617621e-08
103,103,1.3970602189617621e-08
104,104,2.4740550654756887e-06
105,105,1.3970602189617621e-08
106,106,1.3970602189617621e-08
107,107,1.3970602189617621e-08
108,108,1.3970602189617621e-08
109,109,2.1265015560369463e-08
110,110,1.3970602189617621e-08
111,111,1.790179799719333e-05
112,112,1.3970602189617621e-08
113,113,1.3970602189617621e-08
114,114,1.3970602189617621e-08
115,115,1.3970602189617621e-08
116,116,1.3970602189617621e-08
117,117,1.3970602189617621e-08
118,118,1.3970602189617621e-08
119,119,2.05629594169362e-07
120,120,1.3970602189617621e-08
121,121,1.3970602189617621e-08
122,122,1.3970602189617621e-08
123,123,1.3970602189617621e-08
124,124,1.3970602189617621e-08
125,125,1.3970602189617621e-08
126,126,1.3970602189617621e-08
127,127,1.856588669063079e-07
128,128,1.3970602189617621e-08
129,129,1.3970602189617621e-08
130,130,1.3970602189617621e-08
131,131,1.3970602189617621e-08
132,132,1.3970602189617621e-08
133,133,1.3970602189617621e-08
134,134,1.7617808874993718e-08
135,135,1.3630447761905078e-06
136,136,1.3970602189617621e-08
137,137,1.3970602189617621e-08
138,138,1.3970602189617621e-08
139,139,1.3970602189617621e-08
140,140,1.3970602189617621e-08
141,141,1.3970602189617621e-08
142,142,1.3970602189617621e-08
143,143,6.52147241876038e-08
144,144,8.331839056725065e-05
145,145,1.3970602189617621e-08
146,146,1.3970602189617621e-08
147,147,1.3970602189617621e-08
148,148,1.3970602189617621e-08
149,149,1.3970602189617621e-08
150,150,1.3970602189617621e-08
151,151,1.3970602189617621e-08
152,152,1.3970602189617621e-08
153,153,1.3970602189617621e-08
154,154,1.3970602189617621e-08
155,155,1.3970602189617621e-08
156,156,1.3970602189617621e-08
157,157,1.3970602189617621e-08
158,158,1.3970602189617621e-08
159,159,4.3148255672621004e-08
160,160,3.111015488658547e-08
161,161,1.3970602189617621e-08
162,162,1.3970602189617621e-08
163,163,1.3970602189617621e-08
164,164,1.3970602189617621e-08
165,165,1.3970602189617621e-08
166,166,1.3970602189617621e-08
167,167,3.0913665996567684e-06
168,168,1.3970602189617621e-08
169,169,1.3970602189617621e-08
170,170,1.3970602189617621e-08
171,171,1.3970602189617621e-08
172,172,1.3970602189617621e-08
