investor,pagerank
144,8.331839056725065e-05
202,7.009503544219441e-05
361,6.47329662423113e-05
3996,5.108731548860206e-05
1,3.653810191141272e-05
2568,3.592287054337247e-05
2567,3.565919124688756e-05
200,3.520097029045122e-05
717,3.520097029044933e-05
5032,3.5200970290445106e-05
2313,2.8243588623223575e-05
2625,2.622476228817197e-05
2903,2.386567090908674e-05
1018,2.2856650120980222e-05
4172,2.2422694736774738e-05
2305,2.119685651546766e-05
3223,2.0376906059234838e-05
3219,1.961688974737524e-05
2377,1.8844962759105987e-05
678,1.849045309894364e-05
623,1.849045309894341e-05
5029,1.8490453098942525e-05
2118,1.8186188164533734e-05
280,1.790179799719372e-05
547,1.7901797997193664e-05
242,1.790179799719357e-05
270,1.7901797997193397e-05
184,1.790179799719335e-05
300,1.7901797997193346e-05
518,1.7901797997193343e-05
111,1.790179799719333e-05
51,1.7901797997193315e-05
710,1.7901797997193302e-05
418,1.790179799719328e-05
570,1.7901797997193268e-05
650,1.790179799719325e-05
768,1.7901797997193244e-05
1121,1.7901797997193217e-05
769,1.7901797997193197e-05
780,1.7901797997193183e-05
451,1.7901797997193173e-05
499,1.7901797997193173e-05
814,1.7901797997193156e-05
1014,1.7901797997193146e-05
489,1.7901797997193146e-05
847,1.7901797997193146e-05
571,1.790179799719314e-05
777,1.790179799719314e-05
651,1.7901797997193126e-05
1084,1.7901797997193122e-05
529,1.7901797997193122e-05
1100,1.790179799719311e-05
1065,1.79017979971931e-05
720,1.790179799719308e-05
1119,1.7901797997193058e-05
1277,1.7901797997193048e-05
1291,1.7901797997193038e-05
1196,1.7901797997193024e-05
2870,1.7901797997193024e-05
1700,1.7901797997192994e-05
1708,1.790179799719299e-05
1779,1.7901797997192963e-05
1133,1.7901797997192953e-05
1174,1.7901797997192943e-05
1787,1.7901797997192936e-05
1358,1.790179799719292e-05
2495,1.7901797997192892e-05
2686,1.790179799719283e-05
2342,1.7901797997192817e-05
2370,1.7901797997192797e-05
2241,1.7901797997192706e-05
2771,1.7901797997192658e-05
3484,1.7901797997192597e-05
3483,1.790179799719252e-05
4198,1.7901797997192424e-05
2758,1.7901797997192404e-05
4396,1.790179799719238e-05
4181,1.790179799719237e-05
3974,1.7901797997192346e-05
4395,1.790179799719232e-05
4753,1.790179799719231e-05
5046,1.7901797997192157e-05
5507,1.7901797997192143e-05
5132,1.7901797997192113e-05
5492,1.7901797997192103e-05
5649,1.790179799719208e-05
5568,1.7901797997192045e-05
5438,1.7901797997192035e-05
5788,1.7901797997192035e-05
5759,1.790179799719203e-05
5763,1.790179799719203e-05
5761,1.7901797997192028e-05
3815,1.790179799719202e-05
5798,1.7901797997192004e-05
5958,1.7901797997191994e-05
5955,1.7901797997191984e-05
5896,1.7901797997191947e-05
5522,1.790179799719177e-05
5030,1.790179799719169e-05
1933,1.7901797997191513e-05
5618,1.7901797997191262e-05
5590,1.790179799719126e-05
5619,1.7901797997190757e-05
5458,1.7901797997187898e-05
3982,1.7901797997187657e-05
4205,1.7901797997186997e-05
2566,1.789898699132873e-05
3246,1.5883989812249155e-05
908,1.577118184472168e-05
4,1.5140578054376373e-05
3377,1.5107032924968688e-05
1201,1.4623098973289087e-05
2642,1.440770017850752e-05
988,1.4141175246376486e-05
7,1.4131845168795576e-05
2230,1.344417536219791e-05
3281,1.344417536219791e-05
1013,1.3181138104275814e-05
1615,1.3118121929649056e-05
39,1.2180786280927402e-05
3861,1.193792508529698e-05
1185,1.1558460301168904e-05
25,1.0720473595055707e-05
1257,1.0406814691278217e-05
3214,1.0354743078112591e-05
2,1.032121832494116e-05
2647,1.0097752114186937e-05
57,9.997428337404533e-06
1656,9.830183513144809e-06
801,9.804823359118858e-06
4291,8.657302752675818e-06
3630,8.4919357499086e-06
1437,8.406845820948373e-06
3649,7.96635841491502e-06
2045,7.946542747569186e-06
3527,7.926572020304994e-06
4107,7.74542974417743e-06
33,7.439627130058905e-06
1386,7.430319528032427e-06
2635,7.325712518917798e-06
245,7.105912124787977e-06
2347,7.082406841793031e-06
1094,6.682839048348081e-06
2070,6.60594350705779e-06
